Act Name,Act Code
Identification of Prisoners Act,467
Illegal Migrants (Determination by Tribunals) Act,468
Immigrants (Expulsion from Assam) Act,470
Immigration (Carriers’ Liability) Act,469
Immoral Traffic (Prevention) Act,471
Imperial Library (Change of Name) Act,472
Improvements in Towns,473
Inchek Tyres Limited and National Rubber Manufacturers  Limited (Nationalisation) Act,474
Income-tax Act,475
Indecent Representation of Women (Prohibition) Act,476
"Indian Antarctic Act, 2022",1116
Indian Bar Councils Act,477
Indian Bills of Lading Act,478
Indian Boilers Act,479
Indian Carriage of Goods by Sea Act,480
Indian Christian Marriage Act,481
Indian Contract Act,483
Indian Copper Corporation (Acquisition of Undertaking) Act,484
Indian Council of World Affairs Act,482
Indian Criminal Law Amendment Act,485
"Indian Divorce Act, 1869",1111
Indian Easements Act,486
Indian Evidence Act,487
Indian Fisheries Act,488
Indian Forest Act,489
Indian Independence Pakistan Courts (Pending Proceedings)  Act,490
Indian Iron and Steel Company (Acquisition of Shares) Act,491
Indian Law Reports Act,492
"Indian Maritime University Act,2008",493
Indian Matrimonial Causes (War Marriages) Act,494
Indian Medical Council Act,495
Indian Medical Degrees Act,496
Indian Medicine Central Council Act,497
Indian Museum Act,498
Indian Naval Armament Act,499
Indian Nursing Council Act,500
Indian Partnership Act,501
Indian Penal Code,502
Indian Ports Act,503
Indian Post Office Act,504
Indian Railway Board  Act,505
Indian Red Cross Society Act,506
Indian Reserve Forces Act *(Struck down by Supreme Court case 665 2005),507
Indian Rifles (Repeal) Act,524
Indian Short Titles Act,508
Indian Soldiers (Litigation) Act,509
Indian Stamp Act,510
Indian Statistical Institute Act,511
Indian Succession Act,512
Indian Telegraph Act,513
Indian Tolls Act,514
Indian Tolls Act,515
Indian Tolls Act,516
Indian Tolls (Army and Air Force) Act,517
Indian Tramways Act,518
Indian Tramways Act,519
Indian Treasure-trove Act,520
Indian Trusts Act,521
Indian Veterinary Council Act,522
Indian Wireless Telegraphy Act,523
Indira Gandhi National Open University Act,525
Indira Gandhi National Tribal University Act,526
Indo-Tibetan Border Police Force Act,527
Industrial Development Bank (Transfer of Undertaking and Repeal) Act,528
Industrial Disputes Act,529
Industrial Disputes (Amendment and Miscellaneous Provisions)  Act,530
Industrial Disputes (Banking and Insurance Companies) Act,531
Industrial Employment (Standing Orders) Act,532
Industrial Finance Corporation (Transfer of Undertaking and  Repeal) Act,533
Industrial Reconstruction Bank of India Act,535
Industrial Reconstruction Bank (Transfer of Undertaking and  Repeal) Act,534
Industries (Development and Regulation) Act,536
"Infant Milk Substitutes, Feeding Bottles and Infant Foods  (Regulation of Production, Supply and Dis",537
Inflammable Substances Act,538
Information Technology Act,539
Inland Vessels Act,540
Inland Waterways Authority of India Act,541
Insecticides Act,542
Institutes of Technology Act,543
Insurance Act,544
Insurance Regulatory and Development Authority Act,545
Intelligence Organisations (Restriction on Rights) Act,546
Inter,1121
Interest Act,547
Interest-tax Act,549
"International Development Association (Status, Immunities  and Privileges) Act",550
"International Finance Corporation (Status, Immunities and  Privileges) Act",551
International Monetary Fund and Bank Act,552
Inter-State Corporation Act,553
Inter-State Migrant Workmen (Regulation of Employment and Conditions of Service) Act,554
Inter-State River Water Disputes Act,555
I.P.C(Police),1098
I.P.C(Police),1097
IPC The Criminal Law Amendment Act 2013,1110
"Iron Ore Mines, Manganese Ore Mines and Chrome Ore Mines Labour Welfare Cess Act",556
"Iron Ore Mines, Manganese Ore Mines and Chrome Ore Mines Labour Welfare Fund Act",557
Jallianwala Bagh National Memorial Act,559
Jamia Millia Islamia Act,560
Jammu and Kashmir (Extension of Laws) Act,561
Jammu and Kashmir Representation of the People (Supplementary) Act,562
"Jawaharlal Institute of Post Graduate Medical Education and Research, Puducherry Act",563
Jawaharlal Nehru University Act,564
Jayanti Shipping Company (Acquisition of Shares) Act,565
Jubbalpore and Chhattisgarh Divisions (Divorce Proceedings Validation) Act,566
Judges (Inquiry) Act,567
Judges (Protection) Act,568
Judicial Officers Protection Act,569
Junagarh Administration (Property) Act,570
Jute Companies (Nationalisation) Act,571
Jute Manufacturers Development Council Act,573
Jute Manufactures Cess Act,572
Jute Packaging Materials (Compulsory Use in Packing Commodities) Act,574
Juvenile Justice (Care and Protection of Children) Act,575
"Kalakshetra Foundation Act, 1993",576
Kazis Act,577
